loss,mae,val_loss,val_mae,learning_rate
7115.81640625,65.02738189697266,3643.1103515625,45.914886474609375,0.0010000000474974513
2257.153076171875,35.43985366821289,2387.897216796875,36.144405364990234,0.0010000000474974513
1900.4356689453125,32.114173889160156,2350.201904296875,35.53470230102539,0.0010000000474974513
1857.94775390625,31.593242645263672,2267.924072265625,35.003360748291016,0.0010000000474974513
1829.880126953125,31.177783966064453,2230.090576171875,34.721683502197266,0.0010000000474974513
1799.5311279296875,30.919721603393555,2195.97412109375,34.49458312988281,0.0010000000474974513
1790.17138671875,30.744529724121094,2200.26171875,34.39675521850586,0.0010000000474974513
1789.8140869140625,30.695985794067383,2192.112060546875,34.27961730957031,0.0010000000474974513
1765.9234619140625,30.472530364990234,2176.1923828125,34.17958450317383,0.0010000000474974513
1758.9971923828125,30.346126556396484,2150.229736328125,33.96940231323242,0.0010000000474974513
1757.27783203125,30.358091354370117,2139.7138671875,33.864585876464844,0.0010000000474974513
1747.1033935546875,30.12004852294922,2158.908447265625,33.90458679199219,0.0010000000474974513
1742.4864501953125,30.091785430908203,2129.27099609375,33.7560920715332,0.0010000000474974513
1715.5736083984375,29.891321182250977,2152.086181640625,33.77225875854492,0.0010000000474974513
1722.634521484375,29.913673400878906,2129.24658203125,33.78140640258789,0.0010000000474974513
1721.05908203125,29.82004737854004,2138.04541015625,33.68644714355469,0.0010000000474974513
1707.79931640625,29.702016830444336,2147.537109375,33.673744201660156,0.0010000000474974513
1726.3660888671875,29.73307228088379,2136.095458984375,33.669395446777344,0.0010000000474974513
1722.49169921875,29.781570434570312,2137.10888671875,33.60032272338867,0.0010000000474974513
1702.78466796875,29.59975814819336,2104.872802734375,33.545555114746094,0.0010000000474974513
1699.27294921875,29.409244537353516,2119.019775390625,33.49485397338867,0.0010000000474974513
1700.888671875,29.437602996826172,2100.74609375,33.542640686035156,0.0010000000474974513
1703.3748779296875,29.45060157775879,2188.7890625,33.78167724609375,0.0010000000474974513
1697.674560546875,29.40203857421875,2102.911865234375,33.49101638793945,0.0010000000474974513
1697.2806396484375,29.400497436523438,2105.444580078125,33.425750732421875,0.0010000000474974513
1684.4110107421875,29.323091506958008,2116.81201171875,33.50554275512695,0.0010000000474974513
1680.298828125,29.242515563964844,2114.9375,33.459896087646484,0.0010000000474974513
1672.7135009765625,29.127906799316406,2102.67138671875,33.38264465332031,0.0005000000237487257
1662.0240478515625,29.014904022216797,2133.630859375,33.48597717285156,0.0005000000237487257
1652.9791259765625,28.941389083862305,2127.402587890625,33.471065521240234,0.0005000000237487257
1661.2276611328125,29.001237869262695,2131.879150390625,33.46827697753906,0.0005000000237487257
1673.3128662109375,29.029312133789062,2148.554443359375,33.51472854614258,0.0005000000237487257
